"name","tweet","retweets","location","created","followers","is_user_verified"
"Robojohn11","Ground Report - TamiNadu Govt Hosp's - Food what they give is very worse it seems.. People who are getting admitted mostly are couples &amp; they can't cook &amp; bring.. Give quality food for Corona Patients. In Kanyakumari I got to know about a patient having diarrhoea after food intak","1","Chennai, India","28-Apr-2021","233","False"
"krishna23tiwari","The BJP/BJYM begins a doctor's helpline, medicine and food for Corona patients. With the team of 300 + 1000 doctors to help at home in all Indian language. https://t.co/GbxzFiJEPv","0","New Delhi & Mumbai","28-Apr-2021","8","False"
"dhfm_4005","Food for corona patients for free in Vijayawada.. \n\n#StayStrongIndia https://t.co/GhKwNTRmC2","4","","28-Apr-2021","240","False"
"aashi0309","#COVIDEmergency2021 \nHome made food for Corona patients and their family in Faridabad, Haryana by one of my school teacher.\nWhoever need it, can contact her..\nSSRians Pray 4 Better India https://t.co/22UrhyxTdk","8","India","27-Apr-2021","546","False"
"SantoshSanju20","#Vijayawada\nFrees food for corona patients if anyone needed pls contact below numbers. https://t.co/sm4Cf3ZQ4v","1","","27-Apr-2021","3","False"
"Ram10091972","Basic veg food for corona patients in chennai. https://t.co/oBEcdNBBwN","1","","27-Apr-2021","1131","False"
"MaheshFollower1","Free Food for CORONA Patients in Hyderabad 👍.\n\nContact details mentioned below.\n\n#COVID19 #Covid19IndiaHelp\n#Covid19Hyderabad https://t.co/vaYL3cLbgP","4","Nizamabad, India","27-Apr-2021","159","False"
"RuthlessREBELS_","Free food for corona patients in Vijayawada 🤝\n\nSpread Maximum 🙏\n\n#StayHomeStaySafe https://t.co/JUAOSE2KQ5","68","","27-Apr-2021","4398","False"
"DivyaShetty020","Free food for corona patients in Vijayawada 🙏 pls share to the needy one\n#StayHomeStaySafe https://t.co/hfiWQ1lekR","14","Vizag","27-Apr-2021","75","False"
"Hope4rtheBest","Food for Corona Patients in #Vijayawada #SOSTDP #COVID19India https://t.co/bfH3uuDVlr","3","","27-Apr-2021","1183","False"
